,secs,runs,wickets
0,0006, 150,3
1,0054, 180,4
2,0064, 190,4
3,0075, 191,4
4,0077, 191,4
5,0079, 191,4
6,0098, 106,4
7,0108, 196,5
8,0110, 196,5
9,0118, 222,5
10,0119, 222,5
11,0121, 222,5
12,0123, 222,5
13,0124, 222,5
14,0135, 225,5
15,0136, 225,5
16,0137, 225,5
17,0138, 225,5
18,0142, 220,5
19,0145, 220,5
20,0151, 236,5
21,0152, 236,5
22,0181, 249,5
23,0197, 251,5
24,0198, 251,5
25,0199, 251,5
26,0202, 251,5
27,0206, 255,5
28,0219, 256,5
29,0232, 262,5
30,0236, 262,5
31,0240, 262,5
32,0242, 262,5
33,0256, 251,5
34,0272, 283,5
35,0274, 283,5
36,0275, 283,5
37,0276, 283,5
38,0277, 284,5
39,0288, 284,5
40,0305, 284,5
41,0314, 284,5
